521,TX,2022-05-31,5169126.0
522,CA,2022-05-27,10600000.0
523,FL,2022-05-26,2300000.0
530,IL,2022-05-13,2496773.0
537,TX,2022-05-03,4125000.0
546,OH,2022-04-13,1775000.0
549,OK,2022-04-11,2800000.0
551,SD,2022-04-04,2000000.0
556,LA,2022-03-29,895735.0
557,FL,2022-03-25,1450000.0
559,TX,2022-03-21,1516000.0
561,OK,2022-03-18,7993000.0
584,NC,2022-02-02,2626000.0
590,MO,2022-01-21,5913577.0
610,MI,2022-01-01,1701741.0
612,TX,2021-12-31,2275000.0
613,PA,2021-12-30,4100000.0
623,MI,2021-12-13,1475000.0
632,TN,2021-12-03,4411000.0
640,FL,2021-11-23,1850000.0
645,OH,2021-11-16,1735000.0
654,OK,2021-11-03,1650000.0
659,TX,2021-10-23,1638370.0
693,MI,2021-08-27,2025000.0
742,VA,2021-06-17,5500000.0
744,CT,2021-06-14,7675000.0
766,TX,2021-05-21,3405034.0
769,GA,2021-05-18,1735000.0
775,KS,2021-05-06,3050000.0
782,LA,2021-04-30,5090000.0
796,WI,2021-04-20,1475000.0
803,IN,2021-03-31,2208000.0
804,CA,2021-03-30,8359500.0
805,OK,2021-03-30,950000.0
806,PA,2021-03-29,1949519.0
818,DE,2021-03-23,2100000.0
823,AL,2021-03-19,1651835.0
840,TN,2021-02-10,2600000.0
848,TX,2021-01-25,2125000.0
852,GA,2021-01-14,1675000.0
883,CA,2020-12-17,2965000.0
885,MI,2020-12-14,2302970.5
904,TX,2020-11-13,2800000.0
906,MO,2020-11-09,1180000.0
907,OK,2020-11-09,867500.0
914,TN,2020-10-20,6100000.0
923,TX,2020-10-02,1375000.0
929,TX,2020-09-25,4265184.0
931,OR,2020-09-23,5300000.0
932,WA,2020-09-21,6676923.0
941,AL,2020-08-24,1150000.0
943,IL,2020-08-24,3980000.0
944,IL,2020-08-24,3918163.0
945,OH,2020-08-24,1800000.0
957,LA,2020-07-31,2400000.0
971,TX,2020-07-08,2006617.0
977,KY,2020-06-29,2380000.0
979,OH,2020-06-26,1980000.0
996,PA,2020-05-31,815000.0
1015,FL,2020-03-31,2130000.0
1019,TX,2020-03-27,2553498.0
1020,TX,2020-03-27,2164475.0
1021,TX,2020-03-27,9000000.0
1029,IL,2020-03-16,3550000.0
1032,PA,2020-03-16,1250000.0
1038,GA,2020-02-28,3850000.0
1054,LA,2020-01-31,4122000.0
1065,FL,2020-01-21,1570000.0
1088,WA,2019-12-20,1200000.0
1107,OH,2019-11-18,1200000.0
1121,IN,2019-10-16,2233397.0
1133,OK,2019-09-19,3609000.0
1144,MO,2019-08-31,653600.0
1145,CA,2019-08-30,2050000.0
1161,MS,2019-07-29,3269984.0
1189,IL,2019-06-17,1400000.0
1194,OR,2019-06-11,4125000.0
1198,FL,2019-06-03,6000000.0
1202,TX,2019-05-28,2297143.0
1205,MI,2019-05-23,1485395.0
1230,WA,2019-03-22,11725000.0
1263,PA,2019-01-04,785000.0
1267,SC,2018-12-31,1477803.0
1276,TX,2018-12-21,1750000.0
1290,OH,2018-11-19,772500.0
1297,IN,2018-11-06,2220000.0
1330,GA,2018-08-30,715000.0
1334,GA,2018-08-21,1300000.0
1338,IL,2018-08-14,985000.0
1339,OH,2018-08-13,1525000.0
1377,GA,2018-06-13,1615806.0
1379,TX,2018-06-11,1155000.0
1431,NM,2018-03-31,4200000.0
1438,GA,2018-03-23,2340000.0
1439,IL,2018-03-22,5155500.0
1448,OR,2018-03-12,1742000.0
1453,TN,2018-02-27,1465111.0
1462,IL,2018-02-02,5740000.0
1481,MN,2017-12-29,3752197.4
1483,AL,2017-12-28,1404889.0
1486,TN,2017-12-28,6490000.0
1487,OK,2017-12-27,4567000.0
1500,CA,2017-12-08,2970000.0
1501,MN,2017-12-05,5500000.0
1516,PA,2017-11-06,3259283.0
1547,IN,2017-08-24,3367292.0
1549,GA,2017-08-16,700000.0
1555,TX,2017-08-03,2740000.0
1563,CA,2017-07-17,4016500.0
1567,PA,2017-07-07,1926000.0
1573,NC,2017-06-29,4513000.0
1583,TX,2017-05-31,3500000.0
1589,TX,2017-05-15,2412194.0
1592,MO,2017-05-10,4200000.0
1598,FL,2017-05-03,1318367.0
1599,MO,2017-05-01,4004064.0
1601,TN,2017-04-28,5350000.0
1610,NM,2017-04-11,2335000.0
1613,OH,2017-04-10,4366300.0
1619,OR,2017-03-29,5300000.0
1621,OK,2017-03-21,2375500.0
1644,OH,2017-01-11,1090000.0
1645,UT,2017-01-11,5828705.0
1657,KS,2016-12-08,5472708.33
1662,PA,2016-11-18,3589387.0
1669,CA,2016-11-03,3761000.0
1670,CA,2016-11-03,4549000.0
1689,TX,2016-10-16,1321000.0
1692,NV,2016-10-06,4100000.0
1696,PA,2016-10-02,350000.0
1701,OK,2016-09-13,4119500.0
1723,MI,2016-06-24,990000.0
1726,OH,2016-06-08,1347624.0
1727,OH,2016-06-08,2140288.0
1730,NC,2016-06-07,1825000.0
1732,NC,2016-06-06,2290600.0
1733,OK,2016-06-01,900000.0
1741,TX,2016-05-12,2012000.0
1753,OH,2016-04-01,862600.0
1754,OH,2016-04-01,697800.0
1761,TX,2016-03-15,994000.0
1776,AZ,2016-02-03,2624850.0
1783,NC,2016-01-06,4366500.0
1802,SC,2015-12-01,2655406.0
1813,TX,2015-10-14,1897000.0
1823,TN,2015-09-17,1395861.0
1828,GA,2015-08-28,1448651.0
1832,PA,2015-08-18,745000.0
1844,OK,2015-07-09,1115000.0
1861,OH,2015-05-11,656000.0
1866,OH,2015-05-01,816000.0
1881,WA,2015-03-23,4956527.0
1883,OH,2015-03-10,700000.0
1892,IL,2015-01-16,4006618.8
1895,TN,2015-01-13,2160928.0
1902,IL,2014-12-30,2393000.0
1907,IL,2014-12-22,1416500.0
1909,TX,2014-12-22,3886196.0
1910,TX,2014-12-19,2203000.0
1926,AL,2014-10-28,2620000.0
1928,PA,2014-10-21,815100.0
1930,NJ,2014-10-13,1725000.0
1942,GA,2014-08-21,1200000.0
1944,WV,2014-08-18,1839710.0
1955,FL,2014-07-03,4690000.0
1972,TX,2014-04-30,775000.0
1993,IN,2013-12-23,2169492.0
1997,MI,2013-12-04,450000.0
2001,FL,2013-11-25,2470432.0
2006,OH,2013-11-15,1390000.0
2014,WI,2013-10-15,610000.0
2020,TX,2013-08-30,1525000.0
2046,IN,2013-03-15,3000000.0
2050,CA,2013-02-21,5600000.0
2053,SC,2013-01-22,841869.2
2061,AR,2012-10-25,1874000.0
2069,OK,2012-08-09,2174000.0
2086,NC,2012-04-01,1688000.0
2091,AL,2012-02-29,2061333.33
2112,TX,2011-11-01,2950000.0
2121,TX,2011-08-30,3250000.0
2169,TX,2009-07-31,900000.0
2171,NC,2009-05-29,1260000.0
2173,NC,2009-05-06,2075000.0
2177,TX,2008-10-24,1726352.0
2186,NC,2008-06-28,1827000.0
2194,ID,2008-01-25,1795500.0
2200,OR,2007-11-08,1722965.0
2213,GA,2007-01-26,1280000.0
2217,TX,2006-06-13,2200000.0
2219,FL,2006-03-31,2125000.0
2222,FL,2005-12-01,2093000.0
2223,GA,2005-02-23,1980000.0
2226,WA,2004-03-09,1750000.0
2227,IL,2004-01-01,3750000.0
2228,CA,2002-01-14,2655000.0
